Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length,int_rate,FICO.Score,annual_inc,home_ownership
15000,15000.0,14.33%,36,credit_card,16.38,MD,MORTGAGE,5500.0,700-704,10.0,12413.0,2.0,3 years,14.33,700,66000.0,0
10000,10000.0,13.11%,36,credit_card,14.12,CA,RENT,7500.0,680-684,12.0,3235.0,0.0,6 years,13.11,680,90000.0,3
5950,5950.0,12.12%,36,credit_card,21.54,FL,MORTGAGE,5000.0,690-694,9.0,47746.0,0.0,10+ years,12.12,690,60000.0,0
10000,10000.0,10.99%,36,debt_consolidation,8.23,NY,OWN,5833.33,700-704,15.0,11620.0,0.0,< 1 year,10.99,700,69999.96,2
4000,4000.0,15.23%,36,other,10.73,MA,RENT,2916.67,670-674,6.0,1651.0,1.0,6 years,15.23,670,35000.04,3
15000,14675.0,7.88%,36,home_improvement,0.53,VA,MORTGAGE,10417.0,780-784,8.0,1343.0,1.0,< 1 year,7.88,780,125004.0,0
10000,9850.0,15.31%,36,debt_consolidation,18.6,NY,RENT,2500.0,665-669,8.0,9092.0,1.0,< 1 year,15.31,665,30000.0,3
8875,8875.0,13.11%,36,other,30.46,TX,OWN,2166.67,700-704,9.0,6797.0,1.0,2 years,13.11,700,26000.04,2
2400,2400.0,10.74%,36,credit_card,11.2,NY,RENT,2000.0,705-709,4.0,3055.0,0.0,10+ years,10.74,705,24000.0,3
25000,24950.0,20.53%,60,debt_consolidation,18.5,NJ,RENT,8000.0,675-679,9.0,19548.0,0.0,3 years,20.53,675,96000.0,3
5500,5500.0,16.07%,36,other,19.35,FL,MORTGAGE,3937.08,685-689,6.0,689.0,8.0,10+ years,16.07,685,47244.96,0
6000,6000.0,12.53%,36,credit_card,23.07,PA,RENT,2916.67,685-689,11.0,3334.0,0.0,2 years,12.53,685,35000.04,3
18000,18000.0,19.05%,60,debt_consolidation,6.28,MD,MORTGAGE,7500.0,690-694,8.0,20675.0,1.0,10+ years,19.05,690,90000.0,0
28000,27975.0,7.90%,36,small_business,5.81,WA,MORTGAGE,7000.0,800-804,8.0,771.0,2.0,9 years,7.9,800,84000.0,0
32000,32000.0,16.29%,60,debt_consolidation,15.14,AZ,RENT,7055.0,725-729,8.0,16174.0,1.0,6 years,16.29,725,84660.0,3
6000,6000.0,13.11%,36,credit_card,4.53,NY,RENT,2625.0,690-694,5.0,4299.0,1.0,10+ years,13.11,690,31500.0,3
7200,7200.0,8.90%,60,debt_consolidation,25.16,LA,MORTGAGE,3750.0,750-754,13.0,7283.0,0.0,6 years,8.9,750,45000.0,0
11500,11500.0,11.14%,36,debt_consolidation,10.47,AL,RENT,2916.67,700-704,6.0,9562.0,0.0,< 1 year,11.14,700,35000.04,3
4800,4800.0,5.42%,36,major_purchase,10.23,FL,MORTGAGE,6333.33,790-794,13.0,10704.0,0.0,10+ years,5.42,790,75999.96,0
4000,4000.0,10.65%,36,debt_consolidation,23.4,NC,MORTGAGE,2333.33,685-689,21.0,3522.0,0.0,7 years,10.65,685,27999.96,0
15000,15000.0,10.65%,36,other,14.36,CA,RENT,9083.33,720-724,11.0,26902.0,0.0,3 years,10.65,720,108999.96,3
15000,15000.0,17.99%,36,debt_consolidation,21.04,TX,MORTGAGE,5319.17,675-679,13.0,5613.0,3.0,2 years,17.99,675,63830.04,0
25000,25000.0,12.42%,36,debt_consolidation,1.05,CA,MORTGAGE,16666.67,705-709,7.0,2839.0,0.0,10+ years,12.42,705,200000.04,0
4800,4800.0,18.75%,60,other,27.69,TX,RENT,1560.0,680-684,9.0,6563.0,0.0,< 1 year,18.75,680,18720.0,3
9500,9500.0,6.62%,36,debt_consolidation,19.28,GA,MORTGAGE,3583.33,735-739,8.0,5240.0,0.0,10+ years,6.62,735,42999.96,0
15000,6200.0,12.53%,36,home_improvement,13.78,MO,MORTGAGE,8750.0,705-709,8.0,21702.0,3.0,1 year,12.53,705,105000.0,0
6000,6000.0,13.98%,36,debt_consolidation,7.73,CO,RENT,6250.0,675-679,6.0,3507.0,0.0,4 years,13.98,675,75000.0,3
12300,12300.0,6.03%,36,debt_consolidation,7.15,VA,RENT,6666.67,740-744,10.0,10976.0,0.0,10+ years,6.03,740,80000.04,3
24000,23950.0,7.51%,36,other,17.95,PA,OWN,4250.0,755-759,6.0,19509.0,0.0,2 years,7.51,755,51000.0,2
2000,1975.0,11.12%,36,other,20.5,NY,MORTGAGE,6833.33,705-709,19.0,20653.0,5.0,5 years,11.12,705,81999.96,0
14000,14000.0,9.76%,36,debt_consolidation,22.55,NJ,MORTGAGE,8750.0,710-714,8.0,25026.0,0.0,10+ years,9.76,710,105000.0,0
10000,10000.0,12.12%,36,debt_consolidation,5.95,NJ,OWN,5000.0,700-704,5.0,10752.0,0.0,4 years,12.12,700,60000.0,2
13000,8113.74,9.63%,36,small_business,16.14,TX,MORTGAGE,3500.0,785-789,6.0,0.0,1.0,1 year,9.63,785,42000.0,0
5000,5000.0,16.29%,60,other,11.8,VA,RENT,5416.67,690-694,7.0,8745.0,1.0,4 years,16.29,690,65000.04,3
6000,5994.0,12.42%,36,credit_card,11.68,VA,RENT,2500.0,670-674,6.0,9482.0,0.0,2 years,12.42,670,30000.0,3
10050,10050.0,14.33%,36,debt_consolidation,6.07,CA,RENT,2916.67,710-714,9.0,7413.0,1.0,6 years,14.33,710,35000.04,3
4800,4800.0,7.90%,36,debt_consolidation,19.07,OH,RENT,1500.0,720-724,12.0,6813.0,3.0,< 1 year,7.9,720,18000.0,3
14400,14400.0,10.74%,36,debt_consolidation,5.9,CA,MORTGAGE,6833.33,700-704,15.0,10017.0,0.0,10+ years,10.74,700,81999.96,0
11625,11625.0,15.31%,36,debt_consolidation,16.73,CA,RENT,2833.33,695-699,8.0,17469.0,0.0,10+ years,15.31,695,33999.96,3
18200,18200.0,10.16%,36,credit_card,7.95,NY,RENT,4750.0,720-724,13.0,16184.0,2.0,3 years,10.16,720,57000.0,3
20000,19875.0,13.35%,36,debt_consolidation,15.68,TX,MORTGAGE,9160.0,710-714,9.0,32392.0,1.0,10+ years,13.35,710,109920.0,0
9600,9575.0,17.27%,60,credit_card,12.9,NY,RENT,3333.33,695-699,7.0,13648.0,1.0,10+ years,17.27,695,39999.96,3
9000,9000.0,11.83%,36,car,0.48,MD,RENT,4833.0,715-719,6.0,0.0,1.0,4 years,11.83,715,57996.0,3
35000,35000.0,18.25%,60,debt_consolidation,27.69,MD,RENT,8083.33,725-729,15.0,29300.0,0.0,10+ years,18.25,725,96999.96,3
1900,1900.0,7.51%,36,debt_consolidation,19.27,PA,MORTGAGE,6000.0,735-739,12.0,18397.0,2.0,10+ years,7.51,735,72000.0,0
20000,19896.51,13.67%,36,debt_consolidation,15.34,FL,RENT,5166.67,710-714,8.0,12394.0,1.0,6 years,13.67,710,62000.04,3
2400,2400.0,10.37%,36,wedding,9.54,MN,MORTGAGE,3166.67,675-679,6.0,2174.0,0.0,1 year,10.37,675,38000.04,0
4500,4500.0,11.71%,36,debt_consolidation,15.87,CA,MORTGAGE,3333.33,675-679,15.0,11963.0,0.0,6 years,11.71,675,39999.96,0
12000,12000.0,12.12%,36,debt_consolidation,19.41,TX,MORTGAGE,8750.0,710-714,10.0,32028.0,1.0,4 years,12.12,710,105000.0,0
10000,8175.26,8.63%,36,debt_consolidation,5.91,GA,MORTGAGE,7500.0,730-734,16.0,18343.0,0.0,7 years,8.63,730,90000.0,0
11575,11575.0,7.90%,36,debt_consolidation,17.47,TX,MORTGAGE,2833.33,730-734,8.0,5654.0,0.0,10+ years,7.9,730,33999.96,0
20000,20000.0,6.62%,36,credit_card,21.61,DC,MORTGAGE,8161.33,720-724,14.0,27904.0,1.0,8 years,6.62,720,97935.96,0
6000,3475.0,14.70%,36,debt_consolidation,10.23,MD,RENT,6500.0,640-644,6.0,4103.0,0.0,1 year,14.7,640,78000.0,3
2800,2800.0,10.00%,36,debt_consolidation,20.32,CA,RENT,3250.0,700-704,4.0,8717.0,0.0,5 years,10.0,700,39000.0,3
6000,6000.0,14.09%,36,credit_card,9.93,CA,RENT,4250.0,680-684,6.0,5815.0,1.0,3 years,14.09,680,51000.0,3
20000,14750.0,6.91%,36,debt_consolidation,15.16,CO,RENT,9208.0,735-739,10.0,20965.0,0.0,3 years,6.91,735,110496.0,3
22000,22000.0,13.99%,60,debt_consolidation,18.28,MI,MORTGAGE,6083.33,720-724,9.0,20181.0,0.0,8 years,13.99,720,72999.96,0
10000,10000.0,13.11%,36,debt_consolidation,20.34,MI,RENT,5416.67,675-679,9.0,8066.0,0.0,10+ years,13.11,675,65000.04,3
9450,9450.0,12.12%,36,credit_card,11.74,IL,MORTGAGE,4666.67,690-694,13.0,17639.0,2.0,10+ years,12.12,690,56000.04,0
10400,10325.0,7.66%,36,debt_consolidation,13.02,CA,MORTGAGE,6354.0,725-729,10.0,19656.0,3.0,10+ years,7.66,725,76248.0,0
15875,15818.07,15.28%,60,debt_consolidation,22.1,CA,RENT,3000.0,720-724,5.0,14289.0,2.0,2 years,15.28,720,36000.0,3
18000,18000.0,12.12%,60,other,14.89,VA,MORTGAGE,8333.33,730-734,7.0,4038.0,0.0,5 years,12.12,730,99999.96,0
8000,8000.0,8.90%,36,other,2.93,NY,RENT,5000.0,710-714,8.0,5540.0,0.0,2 years,8.9,710,60000.0,3
12000,12000.0,14.33%,36,moving,20.06,NY,RENT,4166.67,760-764,8.0,14163.0,0.0,2 years,14.33,760,50000.04,3
20000,12150.0,6.54%,60,debt_consolidation,12.36,NY,OWN,5000.0,795-799,9.0,7960.0,2.0,10+ years,6.54,795,60000.0,2
10000,10000.0,16.77%,36,debt_consolidation,18.55,CA,RENT,2916.67,660-664,9.0,7565.0,3.0,4 years,16.77,660,35000.04,3
24500,23475.0,19.03%,60,debt_consolidation,23.02,MD,RENT,4497.0,680-684,13.0,18906.0,0.0,10+ years,19.03,680,53964.0,3
10000,10000.0,12.12%,36,debt_consolidation,19.58,CA,RENT,6250.0,695-699,17.0,16348.0,0.0,5 years,12.12,695,75000.0,3
3600,3600.0,7.90%,36,credit_card,26.21,OH,MORTGAGE,4166.67,735-739,19.0,25.0,2.0,3 years,7.9,735,50000.04,0
12000,12000.0,17.49%,60,debt_consolidation,6.94,OR,MORTGAGE,5445.0,670-674,8.0,4904.0,0.0,9 years,17.49,670,65340.0,0
6950,6950.0,10.74%,36,credit_card,20.71,IL,OWN,4583.33,685-689,7.0,18814.0,0.0,10+ years,10.74,685,54999.96,2
8525,8525.0,10.16%,36,debt_consolidation,26.14,MT,MORTGAGE,4583.33,705-709,8.0,31398.0,0.0,10+ years,10.16,705,54999.96,0
5000,5000.0,14.33%,36,credit_card,28.51,CO,RENT,2750.0,690-694,14.0,5957.0,2.0,3 years,14.33,690,33000.0,3
4800,4800.0,18.25%,60,debt_consolidation,13.81,OR,RENT,3750.0,695-699,13.0,16302.0,0.0,10+ years,18.25,695,45000.0,3
6000,6000.0,13.35%,36,debt_consolidation,21.36,NV,MORTGAGE,5000.0,665-669,11.0,4363.0,3.0,10+ years,13.35,665,60000.0,0
4000,4000.0,19.22%,60,small_business,9.03,VA,RENT,3700.0,680-684,19.0,2177.0,2.0,2 years,19.22,680,44400.0,3
14000,14000.0,6.03%,36,debt_consolidation,14.67,CA,RENT,7500.0,745-749,12.0,16648.0,0.0,10+ years,6.03,745,90000.0,3
23500,23450.0,14.65%,36,debt_consolidation,19.48,CA,RENT,4000.0,685-689,7.0,20542.0,0.0,n/a,14.65,685,48000.0,3
2500,2500.0,15.95%,36,major_purchase,24.07,CA,MORTGAGE,1500.0,665-669,10.0,2684.0,3.0,1 year,15.95,665,18000.0,0
2000,2000.0,6.17%,36,major_purchase,2.63,CA,RENT,1600.0,745-749,9.0,736.0,0.0,3 years,6.17,745,19200.0,3
24000,23925.0,16.29%,60,credit_card,11.77,NJ,MORTGAGE,7800.0,675-679,11.0,20676.0,3.0,2 years,16.29,675,93600.0,0
12800,12800.0,11.49%,60,debt_consolidation,6.72,CT,MORTGAGE,4166.67,725-729,7.0,11992.0,1.0,1 year,11.49,725,50000.04,0
8000,8000.0,7.90%,36,wedding,21.58,CA,RENT,5166.67,725-729,5.0,0.0,0.0,1 year,7.9,725,62000.04,3
3000,3000.0,9.99%,36,credit_card,21.3,MO,OWN,2333.33,710-714,10.0,3168.0,1.0,1 year,9.99,710,27999.96,2
7000,7000.0,7.90%,36,credit_card,1.41,FL,RENT,12500.0,725-729,4.0,5093.0,0.0,7 years,7.9,725,150000.0,3
18000,17975.0,13.48%,36,credit_card,6.24,IL,MORTGAGE,8333.33,690-694,13.0,14838.0,0.0,10+ years,13.48,690,99999.96,0
9000,5975.0,14.11%,36,debt_consolidation,8.21,CA,MORTGAGE,4167.0,670-674,7.0,19696.0,1.0,3 years,14.11,670,50004.0,0
11000,11000.0,10.99%,36,debt_consolidation,4.26,SC,MORTGAGE,6666.67,695-699,11.0,4124.0,0.0,4 years,10.99,695,80000.04,0
6000,6000.0,7.90%,36,major_purchase,14.99,IL,RENT,4416.67,720-724,10.0,2928.0,0.0,2 years,7.9,720,53000.04,3
6500,6475.0,7.74%,36,debt_consolidation,18.0,NH,RENT,1500.0,785-789,5.0,2816.0,0.0,2 years,7.74,785,18000.0,3
19500,19500.0,18.49%,36,credit_card,9.79,MD,RENT,10000.0,675-679,16.0,14957.0,1.0,2 years,18.49,675,120000.0,3
16000,16000.0,17.27%,60,major_purchase,19.26,MD,RENT,7000.0,695-699,7.0,5231.0,1.0,10+ years,17.27,695,84000.0,3
18000,17950.0,14.33%,60,debt_consolidation,13.98,KS,MORTGAGE,12916.67,685-689,11.0,14890.0,2.0,10+ years,14.33,685,155000.04,0
30000,29975.0,23.33%,60,debt_consolidation,17.39,FL,MORTGAGE,7083.33,665-669,21.0,56145.0,1.0,10+ years,23.33,665,84999.96,0
10000,10000.0,14.09%,36,debt_consolidation,5.82,LA,RENT,8750.0,660-664,14.0,11394.0,0.0,3 years,14.09,660,105000.0,3
16000,15900.0,15.58%,60,debt_consolidation,12.86,WA,MORTGAGE,5427.42,700-704,11.0,19407.0,1.0,5 years,15.58,700,65129.04,0
35000,35000.0,17.58%,36,debt_consolidation,11.8,MA,MORTGAGE,13333.33,690-694,12.0,21393.0,1.0,10+ years,17.58,690,159999.96,0
8000,8000.0,13.72%,36,wedding,9.67,TX,RENT,7758.33,665-669,6.0,12110.0,1.0,2 years,13.72,665,93099.96,3
14500,14500.0,13.11%,36,debt_consolidation,28.29,WA,MORTGAGE,5988.67,700-704,12.0,18020.0,2.0,10+ years,13.11,700,71864.04,0
12000,11925.0,10.62%,36,other,19.02,VA,RENT,5000.0,720-724,9.0,11779.0,0.0,1 year,10.62,720,60000.0,3
4500,4500.0,13.43%,36,car,1.23,CA,RENT,11500.0,670-674,5.0,1847.0,1.0,1 year,13.43,670,138000.0,3
16500,16350.0,11.83%,36,debt_consolidation,17.44,TX,RENT,4810.08,725-729,7.0,24351.0,1.0,3 years,11.83,725,57720.96,3
10000,10000.0,9.91%,36,debt_consolidation,14.32,MN,MORTGAGE,3666.67,705-709,9.0,17161.0,0.0,1 year,9.91,705,44000.04,0
35000,35000.0,19.05%,60,credit_card,13.4,CA,MORTGAGE,9166.67,690-694,7.0,26633.0,0.0,1 year,19.05,690,110000.04,0
21000,6165.31,11.09%,36,home_improvement,21.28,CA,OWN,18333.33,745-749,31.0,270800.0,5.0,2 years,11.09,745,219999.96,2
8400,6725.0,15.45%,36,debt_consolidation,15.71,MD,RENT,7083.33,640-644,7.0,14578.0,3.0,< 1 year,15.45,640,84999.96,3
6000,6000.0,7.90%,36,credit_card,9.31,TX,OWN,1750.0,705-709,14.0,5056.0,0.0,6 years,7.9,705,21000.0,2
12000,12000.0,19.22%,36,debt_consolidation,14.62,CT,OWN,4166.67,665-669,3.0,6309.0,0.0,6 years,19.22,665,50000.04,2
12100,12100.0,16.89%,36,small_business,11.16,TX,MORTGAGE,6166.67,665-669,5.0,2081.0,0.0,4 years,16.89,665,74000.04,0
25000,25000.0,14.09%,36,home_improvement,4.79,MD,MORTGAGE,6833.33,675-679,5.0,8811.0,0.0,8 years,14.09,675,81999.96,0
16000,15925.0,6.03%,36,debt_consolidation,14.48,CA,MORTGAGE,7333.33,780-784,11.0,71838.0,1.0,10+ years,6.03,780,87999.96,0
27000,27000.0,18.25%,36,home_improvement,22.32,SC,MORTGAGE,8583.33,690-694,9.0,6658.0,1.0,8 years,18.25,690,102999.96,0
12250,12250.0,18.75%,36,debt_consolidation,17.21,LA,OWN,2916.67,665-669,7.0,10523.0,0.0,7 years,18.75,665,35000.04,2
10000,10000.0,17.77%,36,debt_consolidation,22.6,AZ,RENT,2500.0,665-669,12.0,12938.0,2.0,4 years,17.77,665,30000.0,3
9175,9175.0,13.67%,36,credit_card,19.43,IL,MORTGAGE,7083.33,675-679,8.0,25639.0,0.0,8 years,13.67,675,84999.96,0
14075,14075.0,15.31%,36,debt_consolidation,25.7,VA,OWN,4000.0,680-684,13.0,11907.0,2.0,5 years,15.31,680,48000.0,2
13100,13100.0,18.55%,36,debt_consolidation,23.24,NY,RENT,7968.75,660-664,19.0,19607.0,1.0,10+ years,18.55,660,95625.0,3
14675,14675.0,8.90%,36,debt_consolidation,14.95,NY,MORTGAGE,4000.0,715-719,6.0,12764.0,0.0,7 years,8.9,715,48000.0,0
5000,4900.0,11.14%,36,major_purchase,2.84,FL,RENT,3200.0,710-714,6.0,2650.0,2.0,3 years,11.14,710,38400.0,3
18000,18000.0,13.11%,36,debt_consolidation,26.54,OR,MORTGAGE,4166.67,670-674,11.0,16680.0,0.0,10+ years,13.11,670,50000.04,0
12000,12000.0,7.62%,36,debt_consolidation,15.1,CO,RENT,5666.67,775-779,7.0,12094.0,0.0,10+ years,7.62,775,68000.04,3
19400,19400.0,14.33%,36,debt_consolidation,16.15,MA,MORTGAGE,4583.33,680-684,12.0,12434.0,0.0,7 years,14.33,680,54999.96,0
18000,18000.0,12.12%,36,debt_consolidation,19.29,IL,RENT,3333.33,665-669,15.0,26573.0,0.0,10+ years,12.12,665,39999.96,3
12000,12000.0,17.77%,36,debt_consolidation,9.84,NY,MORTGAGE,7500.0,665-669,11.0,15866.0,0.0,7 years,17.77,665,90000.0,0
8000,8000.0,13.11%,36,debt_consolidation,26.11,MN,MORTGAGE,4166.67,675-679,15.0,11500.0,0.0,< 1 year,13.11,675,50000.04,0
23750,23750.0,19.72%,60,debt_consolidation,14.22,CT,RENT,8333.33,710-714,12.0,10549.0,3.0,2 years,19.72,710,99999.96,3
7500,7475.0,15.58%,36,debt_consolidation,10.74,VA,MORTGAGE,5000.0,695-699,8.0,8257.0,0.0,2 years,15.58,695,60000.0,0
5500,5500.0,12.69%,36,debt_consolidation,21.24,OH,RENT,1666.67,680-684,7.0,5056.0,1.0,< 1 year,12.69,680,20000.04,3
16950,16950.0,17.27%,60,debt_consolidation,26.62,OK,MORTGAGE,3583.33,710-714,7.0,12588.0,3.0,10+ years,17.27,710,42999.96,0
3000,2950.0,11.14%,36,major_purchase,27.74,VA,MORTGAGE,4333.33,715-719,6.0,6346.0,0.0,5 years,11.14,715,51999.96,0
1600,1600.0,13.49%,36,debt_consolidation,12.1,CA,RENT,3200.0,670-674,5.0,1214.0,0.0,6 years,13.49,670,38400.0,3
6000,6000.0,7.49%,36,home_improvement,14.66,NC,MORTGAGE,5833.33,715-719,12.0,7961.0,0.0,9 years,7.49,715,69999.96,0
7350,7350.0,12.12%,36,debt_consolidation,19.85,CA,OWN,3355.05,695-699,19.0,11626.0,3.0,10+ years,12.12,695,40260.6,2
12825,12825.0,17.77%,36,debt_consolidation,24.41,CA,MORTGAGE,3416.67,670-674,15.0,8539.0,1.0,10+ years,17.77,670,41000.04,0
24000,23975.0,21.00%,60,debt_consolidation,23.69,OK,MORTGAGE,6500.0,685-689,17.0,36555.0,3.0,6 years,21.0,685,78000.0,0
10000,10000.0,18.49%,60,debt_consolidation,16.47,FL,RENT,4104.67,695-699,5.0,7597.0,0.0,5 years,18.49,695,49256.04,3
5500,5500.0,14.33%,36,debt_consolidation,27.83,WV,OWN,1541.67,675-679,5.0,10481.0,1.0,n/a,14.33,675,18500.04,2
17500,17500.0,14.72%,36,debt_consolidation,9.3,CA,RENT,9519.75,695-699,9.0,31279.0,0.0,10+ years,14.72,695,114237.0,3
10000,10000.0,13.11%,36,credit_card,19.01,OH,MORTGAGE,7500.0,680-684,11.0,14426.0,1.0,9 years,13.11,680,90000.0,0
20000,16275.0,6.17%,36,debt_consolidation,12.27,MD,MORTGAGE,8083.33,770-774,13.0,29813.0,1.0,10+ years,6.17,770,96999.96,0
11600,11600.0,6.99%,36,debt_consolidation,8.62,CA,RENT,5833.33,735-739,8.0,2671.0,1.0,< 1 year,6.99,735,69999.96,3
12000,12000.0,13.99%,60,debt_consolidation,12.98,CT,RENT,4166.67,715-719,8.0,2316.0,1.0,3 years,13.99,715,50000.04,3
13000,6770.1,11.26%,36,small_business,14.05,CA,MORTGAGE,7666.67,720-724,8.0,9551.0,0.0,9 years,11.26,720,92000.04,0
8575,8550.0,17.27%,36,debt_consolidation,9.84,NY,RENT,2500.0,665-669,6.0,8807.0,2.0,7 years,17.27,665,30000.0,3
6100,6100.0,14.09%,36,credit_card,9.51,LA,RENT,6666.67,685-689,10.0,5665.0,2.0,2 years,14.09,685,80000.04,3
14000,14000.0,15.31%,36,credit_card,14.26,PA,MORTGAGE,5000.0,680-684,5.0,11249.0,2.0,10+ years,15.31,680,60000.0,0
10500,10500.0,14.33%,36,debt_consolidation,19.55,FL,MORTGAGE,5666.67,670-674,7.0,11301.0,0.0,10+ years,14.33,670,68000.04,0
19600,19525.0,21.49%,60,small_business,9.76,CA,RENT,4170.0,675-679,8.0,11669.0,0.0,4 years,21.49,675,50040.0,3
15000,15000.0,15.80%,36,credit_card,10.27,NV,RENT,3333.33,670-674,11.0,10108.0,0.0,4 years,15.8,670,39999.96,3
8000,8000.0,17.27%,36,other,5.28,AZ,MORTGAGE,5833.33,725-729,11.0,12484.0,1.0,10+ years,17.27,725,69999.96,0
20000,20000.0,21.49%,36,debt_consolidation,27.47,TX,MORTGAGE,7750.0,660-664,15.0,26976.0,0.0,2 years,21.49,660,93000.0,0
11000,10969.64,12.53%,36,debt_consolidation,18.89,IL,RENT,3500.0,700-704,6.0,6811.0,1.0,2 years,12.53,700,42000.0,3
6000,5905.66,17.90%,36,credit_card,6.6,MI,RENT,4166.67,675-679,5.0,3433.0,1.0,2 years,17.9,675,50000.04,3
12000,12000.0,11.14%,36,debt_consolidation,3.11,CA,MORTGAGE,10833.33,705-709,12.0,11941.0,0.0,2 years,11.14,705,129999.96,0
17000,17000.0,13.11%,36,debt_consolidation,16.92,CA,RENT,5083.33,690-694,10.0,8890.0,0.0,7 years,13.11,690,60999.96,3
6250,6250.0,7.90%,36,debt_consolidation,8.45,IL,RENT,1916.67,720-724,6.0,3295.0,0.0,1 year,7.9,720,23000.04,3
27825,27825.0,23.76%,60,debt_consolidation,12.86,CA,RENT,6250.0,665-669,16.0,27093.0,1.0,4 years,23.76,665,75000.0,3
30000,30000.0,15.31%,36,debt_consolidation,15.42,NJ,RENT,8333.33,680-684,21.0,29060.0,1.0,8 years,15.31,680,99999.96,3
4200,3969.9,14.11%,36,home_improvement,4.62,OH,MORTGAGE,1558.42,675-679,6.0,2255.0,1.0,< 1 year,14.11,675,18701.04,0
3800,3800.0,21.98%,36,small_business,8.31,CA,RENT,4333.33,680-684,6.0,4843.0,2.0,7 years,21.98,680,51999.96,3
2000,2000.0,15.31%,36,moving,21.43,NC,RENT,2766.67,670-674,5.0,2162.0,3.0,< 1 year,15.31,670,33200.04,3
6000,6000.0,14.09%,36,debt_consolidation,24.25,AZ,RENT,4000.0,680-684,12.0,24934.0,1.0,10+ years,14.09,680,48000.0,3
21000,21000.0,19.05%,60,debt_consolidation,16.24,TX,RENT,8416.67,685-689,8.0,8764.0,2.0,5 years,19.05,685,101000.04,3
2500,2500.0,13.49%,36,credit_card,6.24,NY,RENT,5416.67,680-684,8.0,15373.0,0.0,6 years,13.49,680,65000.04,3
2400,2400.0,16.77%,36,other,17.0,WA,RENT,2700.0,690-694,3.0,3418.0,1.0,3 years,16.77,690,32400.0,3
13000,13000.0,10.74%,36,credit_card,15.46,CA,RENT,2166.67,720-724,4.0,11101.0,0.0,3 years,10.74,720,26000.04,3
4800,4800.0,14.65%,36,credit_card,13.9,HI,RENT,5000.0,665-669,8.0,7391.0,0.0,2 years,14.65,665,60000.0,3
17475,17475.0,9.91%,36,credit_card,17.76,NJ,RENT,3333.33,730-734,15.0,17261.0,1.0,2 years,9.91,730,39999.96,3
16450,16400.0,21.97%,60,debt_consolidation,25.59,PA,MORTGAGE,2833.33,670-674,23.0,12670.0,2.0,5 years,21.97,670,33999.96,0
14000,14000.0,14.65%,36,debt_consolidation,3.47,CA,MORTGAGE,8750.0,680-684,6.0,9035.0,1.0,10+ years,14.65,680,105000.0,0
2500,2500.0,17.27%,36,other,11.34,OH,MORTGAGE,5833.33,665-669,8.0,14122.0,0.0,8 years,17.27,665,69999.96,0
8000,8000.0,18.49%,36,debt_consolidation,14.45,VA,RENT,4166.67,660-664,10.0,9425.0,2.0,4 years,18.49,660,50000.04,3
5000,5000.0,12.53%,36,debt_consolidation,21.49,FL,RENT,3108.33,705-709,8.0,0.0,0.0,2 years,12.53,705,37299.96,3
15000,15000.0,13.11%,36,debt_consolidation,12.78,MA,RENT,9000.0,690-694,19.0,11016.0,0.0,< 1 year,13.11,690,108000.0,3
25000,24814.89,12.69%,60,wedding,3.83,NY,MORTGAGE,22916.67,720-724,13.0,34069.0,0.0,10+ years,12.69,720,275000.04,0
3000,2975.0,8.90%,36,debt_consolidation,32.0,FL,RENT,1000.0,700-704,7.0,9730.0,0.0,n/a,8.9,700,12000.0,3
6000,6000.0,7.90%,36,credit_card,33.64,WI,RENT,4116.67,705-709,16.0,33746.0,0.0,1 year,7.9,705,49400.04,3
7800,7800.0,10.65%,36,debt_consolidation,7.15,CO,MORTGAGE,4000.0,720-724,6.0,11063.0,2.0,9 years,10.65,720,48000.0,0
25000,25000.0,7.90%,36,debt_consolidation,18.66,MI,MORTGAGE,7083.33,710-714,17.0,47504.0,0.0,9 years,7.9,710,84999.96,0
18500,3100.0,15.33%,36,credit_card,5.24,NY,RENT,7500.0,660-664,8.0,22379.0,0.0,1 year,15.33,660,90000.0,3
12000,12000.0,12.99%,60,home_improvement,16.67,GA,MORTGAGE,9166.67,710-714,11.0,25165.0,0.0,2 years,12.99,710,110000.04,0
5000,5000.0,15.99%,36,debt_consolidation,5.26,AL,MORTGAGE,2416.67,665-669,5.0,1620.0,0.0,6 years,15.99,665,29000.04,0
2500,2500.0,10.59%,60,other,2.15,MD,OWN,3958.0,745-749,4.0,3417.0,0.0,2 years,10.59,745,47496.0,2
16000,16000.0,16.29%,60,debt_consolidation,5.76,NC,MORTGAGE,5083.33,710-714,7.0,8729.0,1.0,10+ years,16.29,710,60999.96,0
25000,25000.0,15.31%,60,debt_consolidation,3.98,NY,RENT,5666.67,745-749,6.0,11079.0,0.0,3 years,15.31,745,68000.04,3
2000,2000.0,16.89%,36,other,11.91,AR,RENT,3400.0,660-664,3.0,747.0,3.0,10+ years,16.89,660,40800.0,3
2200,2200.0,10.16%,36,major_purchase,24.15,GA,MORTGAGE,3400.0,730-734,6.0,1453.0,0.0,5 years,10.16,730,40800.0,0
14000,13825.0,10.25%,36,debt_consolidation,9.26,GA,MORTGAGE,8333.33,730-734,8.0,40267.0,1.0,10+ years,10.25,730,99999.96,0
